ab,PCName
IT,CQV-CAMERA2
IT,CQV-HYPERV-CAM3
IT,CQV-BACKUP01
IT,CQV-VROSETTA
IT,CQV-HK-APSV
IT,CQV-FILESV01
IT,CQV-FILESV02
IT,CVN-DAG
IT,CQV-AD
IT,CQV-FILE-CLUS
IT,CQV-AD1
IT,CQV-VCAD-AD1
IT,CQV-ITDM
IT,CQV-CAMERA3
IT,CQV-CAMERA1
IT,CQV-MAIL
IT,CQV-SPIS-OLD
IT,CQV-TVPSYS
IT,CQV-CAMERA
IT,CQV-CAMRECORD1
IT,CQV-CAMRECORD2
IT,CQV-CAMRECORD3
IT,CQV-VWDS05
IT,CQV-SOLARWIND
IT,CQV-VPRT
IT,CQV-VSEPM
IT,CQV-SPIS-DB
IT,CQV-DMS
IT,CQV-VCAD-AD
IT,CQV-VSPIS-DB
IT,CQV-VSPIS
IT,CQV-SPIS-OLD
IT,CQV-VHK-APSV
IT,CQV-MAIL-BACKUP
HRGA,CQV-CANTEEN
HRGA,CQV-CARDSEC
HRGA,CQV-VUNIFORM
HRGA,CQV-CAMRECORD4
MFE,QV-MFE-CXFER
MFE,QV-PDE-BACKUP-JIGNW
